"","Overall","Service","Cleanliness","Value","Sleep Quality","Rooms","Location","Business service (e.g., internet access)","Check in / front desk","Date","Hotel Name","Hotel Prie","Zip Code"
"17","5.0","5","4","4","5","5","5",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"18","4.0","3","4","4","4","5","5",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"19","4.0","4","4","5","4","4","5",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"20","5.0","5","5","5",NA,"5","4",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"21","4.0","5","5","4","4","5","5",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"22","5.0","5","5","5","5","5","5",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"23","3.0","4","3","3","4","2","4",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"24","5.0","5","5","5","5","5","5",NA,NA,Feb 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"25","5.0","4","5","4","4","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"26","5.0","5","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"27","5.0","5","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"28","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"29","4.0","5","5","5","3","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"30","5.0","4","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"31","4.0","4","4","4","4","4","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"32","5.0","5","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"33","4.0","5","3","4","4","4","4",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"34","5.0","5","5","5","4","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"35","4.0","5","4","5","5","4","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"36","5.0","5","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"37","5.0","5","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"38","5.0","5","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"39","4.0","4","4","4","4","4","3",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"40","4.0","4","4","3","4","4","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"41","5.0","5","5","5","5","5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"42","5.0","5","5","5",NA,"5","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"43","3.0","3","5","3","5","4","5",NA,NA,Jan 2012,"Dana Hotel & Spa","$197 - $1,142*","60654"
"44","5.0","5","5","5","5","5","4",NA,NA,Dec 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"45","5.0","5","5","4","5","5","5",NA,NA,Dec 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"46","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Dec 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"47","2.0","2","3","2","2","2","4",NA,NA,Dec 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"48","5.0","4","5","4","4","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"49","4.0","5","4","4","5","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"50","4.0","5","5","4","4","4","4",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"51","4.0","5","5","5","3","4","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"52","5.0","5","5","5","5","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"53","5.0","5","5","5","5","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"54","5.0","4","5","5","5","5","4",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"55","4.0","5","5","5","4","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"56","5.0","5","5","5","5","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"57","5.0","5","5","4","4","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"58","5.0","5","5","4",NA,"5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"59","4.0","5","5","4","5","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"60","4.0","4","5","5","4","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"61","4.0","4","5","5","4","4","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"62","5.0","4","5","5","4","5","5",NA,NA,Nov 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"63","2.0","3","4","2","1","3","4",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"64","5.0","5","5","5","4","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"65","4.0","4","5","4","3","4","4",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"66","4.0","5","5","5","3","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"67","4.0","3","4","3","4","3","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"68","5.0","5","5","5","5","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"69","5.0","5","5","5","4","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"70","5.0","5","5","4","5","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"71","4.0","4","5","4","4","4","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"72","5.0","5","5","4","5","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"73","5.0","5","5","5","5","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"74","4.0","5","5","5","5","5","5",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"75","3.0","4","3","3","1","2","2",NA,NA,Oct 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"76","4.0","4","4","4","4","4","4",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"77","5.0","4","5","4","5","5","5",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"78","4.0","4","4","4","3","3","4",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"79","4.0","4","5","4","4","4","4",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"80","2.0","2","3","1","2","1","3",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"81","2.0",NA,NA,NA,NA,NA,NA,NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"82","5.0","4","5","5","5","4","4",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"83","5.0","2","5","3","5","5","5",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"84","5.0","5",NA,"5",NA,"5","5",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"85","5.0","5",NA,"5",NA,"5","5",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"86","4.0","3",NA,"3",NA,"4","4",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"87","5.0","5",NA,"5",NA,"5","5",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"88","5.0","5",NA,"5",NA,"5","4",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"89","5.0","5",NA,"5",NA,"5","5",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"90","4.0","4","4","4","5",NA,NA,NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"91","5.0","5","5","5",NA,"5","5",NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"92","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"93","4.0","5","5","4",NA,NA,NA,NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"94","5.0","5","5","5","5",NA,NA,NA,NA,Sep 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"95","5.0","5","5","4","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"96","3.0","3","3","3","2",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"97","4.0","5","5","4",NA,"4","5",NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"98","4.0","4","4","4","4",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"99","5.0","4","5","5","4",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"100","4.0","3","4","4","4",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"101","4.0","4","5","4",NA,"5","4",NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"102","5.0","5","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"103","5.0","5","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"104","4.0","5","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"105","4.0","4","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"106","4.0","2","3","2","3",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"107","3.0","3","4","2","4",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"108","5.0","5","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"109","4.0","4","5","4","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"110","5.0","5","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"111","4.0","4","4","4",NA,"4","4",NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"112","3.0","2","4","3","4",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"113","5.0","5","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"114","5.0","5","5","5","5",NA,NA,NA,NA,Aug 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"115","5.0","5","5","5","4",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"116","4.0","4","4","3","4",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"117","5.0","5","5","5","5",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"118","5.0","5","5","5","5",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"119","3.0","3","4","3","2",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"120","5.0","5","5","3","5",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"121","2.0","2","3","4","1",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"122","4.0","4","5","4","4",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"123","3.0","3","4","4","3",NA,NA,NA,NA,Jul 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"124","5.0","5","5","5","5",NA,NA,NA,NA,Jun 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"125","5.0","5","5","5","5",NA,NA,NA,NA,Jun 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"126","4.0","4","4","4","3",NA,NA,NA,NA,Jun 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"127","5.0","5","5","5","5",NA,NA,NA,NA,Jun 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"128","5.0","5","5","4",NA,"4","4",NA,NA,May 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"129","5.0","5","5","5","5","5","5",NA,NA,May 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"130","4.0","4","4","5","4","5","5",NA,NA,May 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"131","3.0","2","5","3","3","4","5",NA,NA,May 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"132","3.0","2","5","3","5","2","5",NA,NA,May 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"133","5.0","5","5","3","4","5","4",NA,NA,May 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"134","4.0","4","5","4",NA,"5","5",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"135","5.0","5","5","4","5","5","5",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"136","5.0","5","5","5","5","5","5",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"137","3.0","5","5","2","2","3","5",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"138","5.0","1","1","1","2","2","1",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"139","5.0","4","5","5","3","5","5",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"140","4.0","5","5","5","5","4","5",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"141","4.0","5","5","5","5","4","5",NA,NA,Apr 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"142","1.0","1","4","2","2","4","4",NA,NA,Mar 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"143","5.0","5","5","5","5","5","5",NA,NA,Mar 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"144","5.0","5","5","5","5","5","5",NA,NA,Mar 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"145","5.0","5","5","4","5","4","4",NA,NA,Mar 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"146","5.0","5","4","5","4","4","5",NA,NA,Feb 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"147","5.0","5","5","5","5","5","5",NA,NA,Feb 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"148","5.0","5","5","5","5","5","5",NA,NA,Feb 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"149","5.0","5","5","5","4","5","5",NA,NA,Feb 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"150","5.0","5","5","5",NA,"5","5",NA,NA,Feb 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"151","5.0","5","5","5",NA,"5","5",NA,NA,Feb 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"152","5.0","5","5","4","5","5","4",NA,NA,Jan 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"153","5.0","5","5","4","4","5","5",NA,NA,Jan 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"154","5.0","5","5","5","5","5","5",NA,NA,Jan 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"155","4.0","3","4","3","2","5","5",NA,NA,Jan 2011,"Dana Hotel & Spa","$197 - $1,142*","60654"
"156","5.0","5","5","5","5","5","5",NA,NA,Dec 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"157","1.0","1","4","1",NA,"3","4",NA,NA,Dec 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"158","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Nov 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"159","3.0","2","1","2","1","1","5",NA,NA,Nov 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"160","5.0","4","5","3","5","5","4",NA,NA,Nov 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"161","4.0","4","5","4","3","5","5",NA,NA,Nov 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"162","5.0","5","5","4","5","5","5",NA,NA,Oct 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"163","5.0","5","5","3","4","4","5",NA,NA,Oct 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"164","5.0","4","4","5","4","4","4",NA,NA,Oct 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"165","3.0","2","5","3","5","4","4",NA,NA,Oct 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"166","5.0","5","5","4","5","5","5",NA,NA,Oct 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"167","4.0","4","5","3","4","3","4",NA,NA,Oct 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"168","5.0","5","5","3","4","5","5",NA,NA,Sep 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"169","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Sep 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"170","4.0","4","5","4","4","4","5",NA,NA,Sep 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"171","4.0","5","4","4",NA,"4","5",NA,NA,Sep 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"172","5.0","5","4","4","5","5","5",NA,NA,Aug 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"173","2.0","2","4","3","3","2","4",NA,NA,Aug 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"174","5.0","4","5","4","4","5","5",NA,NA,Aug 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"175","4.0","5","5","3","4","4","5",NA,NA,Aug 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"176","4.0","4","5","4","4","5","5",NA,NA,Aug 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"177","4.0","3","4","5","3","4","5",NA,NA,Aug 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"178","4.0","4","4","5","4","5","5",NA,NA,Aug 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"179","5.0","5","5","5","4","4","5",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"180","3.0",NA,NA,NA,NA,NA,NA,NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"181","5.0","5","5","5","5","5","5",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"182","5.0","5","5","3","4","5","5",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"183","5.0","4","5","4","4","5","5",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"184","3.0","3","3","2","3","1","4",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"185","5.0","5","5","5","5","5","5",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"186","5.0","5","5","5","5","5","5",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"187","5.0","5","5","5","5","5","5",NA,NA,Jul 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"188","5.0","5","5","5","5","5","5",NA,NA,Jun 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"189","4.0","4","5","4","4","5","4",NA,NA,Jun 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"190","5.0","5","5","5","4","5","5",NA,NA,Jun 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"191","5.0",NA,NA,NA,NA,NA,NA,NA,NA,May 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"192","3.0","3","4","3","5","4","4",NA,NA,May 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"193","5.0","5","5","5","5","5","5",NA,NA,May 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"194","5.0","5","5","5","4","4","5",NA,NA,May 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"195","5.0","5","5","5","5","5","5",NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"196","4.0","5","5",NA,NA,"4",NA,NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"197","3.0","3","2","3","3","3","4",NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"198","5.0","5","5","5","5","5","5",NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"199","5.0","5","5","5","5","5","5",NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"200","4.0","5","5","5","3","4","5",NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"201","1.0","1",NA,NA,NA,NA,NA,NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"202","3.0","3","5","2","2","3","4",NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"203","4.0","4","5","5","3","4","5",NA,NA,Apr 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"204","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Mar 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"205","1.0","1","2","2","1","2","5",NA,NA,Mar 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"206","5.0","4","5","4","5","5","5",NA,NA,Mar 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"207","2.0","2","3","2","1","4","5",NA,NA,Mar 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"208","4.0","5","5","4","4","5","5",NA,NA,Mar 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"209","5.0","5","5","5","5","5","5",NA,NA,Feb 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"210","5.0","5","5","5","5","5","5",NA,NA,Feb 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"211","2.0","2","1","3","2","2","3",NA,NA,Feb 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"212","5.0","5","5","5","5","5","5",NA,NA,Feb 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"213","5.0","5","5","5","5","4","4",NA,NA,Feb 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"214","5.0","5","5","5",NA,"5","5",NA,NA,Jan 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"215","4.0","5","5","4",NA,"4","5",NA,NA,Jan 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"216","5.0","5","5","5",NA,"5","5",NA,NA,Jan 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"217","4.0","4","5","4",NA,"4","5",NA,NA,Jan 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"218","5.0","5","5","5",NA,"5","4",NA,NA,Jan 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"219","4.0","4","4","4",NA,"4","5",NA,NA,Jan 2010,"Dana Hotel & Spa","$197 - $1,142*","60654"
"220","5.0","5","5","5",NA,"5","5",NA,NA,Dec 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"221","5.0","5","5","5",NA,"4","5",NA,NA,Dec 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"222","5.0","5","5","5",NA,"5","5",NA,NA,Dec 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"223","5.0","5","5","4",NA,"5","5",NA,NA,Dec 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"224","5.0","5","5","5",NA,"5","5",NA,NA,Dec 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"225","5.0","5","4","3",NA,"4","5",NA,NA,Dec 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"226","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Nov 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"227","5.0","5","5","5",NA,"4","5",NA,NA,Nov 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"228","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Oct 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"229","4.0","5","5","4",NA,"5","4",NA,NA,Oct 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
"230","4.0","3","4","4",NA,"4","4",NA,NA,Oct 2009,"Dana Hotel & Spa","$197 - $1,142*","60654"
